P_used, P_req, V_h, V_c, Re_h, Re_c, U [W/(m*degC)]
38, 242, 0.05344984409534191, 0.025303472118701938, 1270, 405, 378.9473684210526
39, 236, 0.05207933527238443, 0.024654665141299322, 1270, 405, 378.9473684210526
40, 236, 0.05077735189057482, 0.02403829851276684, 1270, 405, 370.0452488687783
41, 234, 0.04953887989324372, 0.023451998549040818, 1270, 405, 362.9357798165138
42, 234, 0.0483593827529284, 0.022893617631206516, 1270, 405, 354.92957746478874
43, 233, 0.04723474594472076, 0.022361207918852873, 1270, 405, 347.3684210526316
44, 229, 0.04616122899143165, 0.021852998647969853, 1270, 405, 346.47342995169083
45, 229, 0.045135423902733174, 0.021367376455792748, 1270, 405, 338.9162561576355
46, 229, 0.04415421903528245, 0.020902868271971166, 1270, 405, 331.356783919598
47, 229, 0.043214767566446655, 0.02045812639384412, 1270, 405, 324.234693877551
48, 225, 0.04231445990881235, 0.0200319154273057, 1270, 405, 322.9015544041451
49, 225, 0.041450899502510054, 0.01962310082674844, 1270, 405, 315.7894736842105
50, 222, 0.04062188151245985, 0.01923063881021347, 1270, 405, 314.4385026737968
51, 222, 0.03982537403182339, 0.0188535674609936, 1270, 405, 307.78378378378375
52, 223, 0.03905950145428832, 0.01849099885597449, 1270, 405, 300.2209944751381
53, 220, 0.03832252972873571, 0.01814211208510705, 1270, 405, 299.3296089385475
54, 216, 0.037612853252277645, 0.017806147046493956, 1270, 405, 298.4180790960452
55, 217, 0.036928983193145325, 0.017482398918375882, 1270, 405, 291.77142857142854
56, 219, 0.0362695370646963, 0.017170213223404885, 1270, 405, 284.65116279069764
57, 216, 0.03563322939689461, 0.016868981412467957, 1270, 405, 283.7647058823529
58, 217, 0.03501886337281022, 0.016578136905356443, 1270, 405, 276.6467065868263
59, 214, 0.03442532331564394, 0.016297151534079214, 1270, 405, 275.75757575757575
60, 211, 0.03385156792704988, 0.016025532341844558, 1270, 405, 275.3048780487805
61, 213, 0.033296624190540865, 0.01576281869689629, 1270, 405, 268.19875776397515
62, 210, 0.03275958186488698, 0.015508579685656025, 1270, 405, 267.75
63, 212, 0.032239588501952264, 0.015262411754137676, 1270, 405, 260.6369426751592
64, 210, 0.03173584493160926, 0.015023936570479275, 1270, 405, 259.741935483871
